,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
0,951.01,953.39,891.08,847.51,829.68,808.11,790.89,767.52,723.75,686.43,631.97,571.65,563.30,539.63,541.28,540.70,523.91,497.92,508.20,504.22,500.78,458.21,486.28,468.50,441.73,456.12,435.31,419.44,418.69,404.99,368.80,361.90,347.32,361.70,354.79,334.53,326.90,319.65,312.72,305.96,299.65,293.65,288.03,282.47,276.94,272.12,267.73,263.47,258.93,254.67,250.97,247.20,243.65,240.30,237.16,234.10,231.01,228.39,225.59,222.65,220.07,217.45,214.82,212.38,209.69,207.17,204.94,202.41,199.85,197.64,195.21,192.54,190.44,188.22,185.87,183.65,181.44,179.36,177.28,175.17,173.04,171.01,168.94,166.83
1,72.62,67.40,65.59,66.92,77.48,67.01,64.99,57.05,57.65,60.32,58.32,50.67,44.70,47.90,45.65,42.42,39.26,42.29,39.05,32.22,34.15,36.49,39.09,36.51,37.88,40.52,32.71,32.31,25.05,30.30,30.58,26.41,29.64,21.05,26.87,25.18,24.74,24.37,23.83,23.47,22.63,22.05,21.72,21.58,21.60,21.29,20.63,19.88,19.65,19.55,19.22,19.09,18.82,18.39,18.33,18.15,17.90,17.69,17.49,17.32,17.30,17.30,17.10,16.66,16.12,15.60,15.29,15.37,15.27,15.10,15.02,14.80,14.42,14.32,14.50,14.41,14.31,14.18,14.05,13.92,13.32,12.68,12.51,12.57
2,44.44,46.03,41.14,36.52,37.35,38.87,37.94,39.24,35.94,26.46,35.31,31.43,27.31,28.67,22.45,28.74,24.75,25.87,29.84,16.66,20.88,18.92,23.22,19.08,16.25,20.40,17.38,19.89,19.89,13.84,15.40,11.08,14.39,13.70,17.42,16.32,15.85,15.56,15.36,15.07,14.73,14.47,14.24,13.95,13.74,13.50,13.28,13.13,12.91,12.75,12.58,12.28,11.96,11.77,11.56,11.35,11.25,11.20,11.01,10.82,10.75,10.62,10.43,10.31,10.19,10.08,9.97,9.88,9.79,9.65,9.57,9.50,9.43,9.31,9.18,9.12,8.99,8.87,8.80,8.74,8.61,8.55,8.48,8.41
3,32.85,25.51,27.72,25.79,29.56,27.49,28.51,32.62,29.27,26.42,20.84,22.56,23.77,18.47,18.94,16.23,16.99,16.88,17.86,18.86,18.14,12.56,17.04,15.23,13.18,15.33,15.43,17.36,15.41,13.42,10.94,11.68,11.28,11.28,11.90,11.29,10.86,10.45,10.33,10.12,9.86,9.67,9.51,9.29,9.14,9.00,8.88,8.77,8.61,8.51,8.40,8.29,8.04,7.86,7.79,7.66,7.58,7.55,7.46,7.36,7.31,7.20,7.10,7.05,6.95,6.85,6.81,6.78,6.70,6.50,6.37,6.36,6.35,6.28,6.16,6.10,6.03,5.97,5.91,5.85,5.78,5.72,5.72,5.65
4,26.81,22.93,28.21,24.32,19.79,24.84,21.73,22.80,25.68,17.48,21.25,14.78,17.00,14.26,14.04,13.15,12.72,10.43,11.52,15.01,14.66,15.73,14.23,13.69,8.78,12.24,10.20,12.51,13.36,9.88,10.17,9.08,9.56,7.39,9.55,9.00,8.71,8.37,8.22,8.04,7.85,7.67,7.56,7.40,7.25,7.11,6.98,6.86,6.74,6.70,6.59,6.54,6.49,6.37,6.25,6.12,6.05,5.98,5.90,5.87,5.84,5.74,5.65,5.61,5.57,5.54,5.45,5.36,5.28,5.14,5.07,5.06,5.05,4.98,4.86,4.74,4.68,4.67,4.61,4.49,4.43,4.43,4.42,4.36
5,22.14,21.11,22.64,21.73,18.89,17.74,18.82,16.58,19.36,14.62,16.90,12.65,16.90,14.08,15.84,15.08,13.42,12.45,11.80,12.39,12.45,11.51,12.51,10.11,8.30,10.27,8.84,9.29,11.33,8.23,7.94,10.93,8.01,7.19,8.36,7.77,7.54,7.42,7.31,7.16,6.99,6.81,6.70,6.60,6.44,6.30,6.22,6.09,5.90,5.85,5.74,5.63,5.65,5.53,5.35,5.29,5.29,5.16,5.02,5.00,4.98,4.96,4.93,4.90,4.86,4.83,4.68,4.54,4.46,4.38,4.36,4.35,4.34,4.27,4.15,4.03,3.97,3.96,3.96,3.90,3.84,3.78,3.72,3.71
6,22.48,19.42,23.06,19.79,20.51,18.83,16.03,16.25,16.26,15.34,15.69,15.80,14.80,12.67,13.00,13.45,11.70,13.94,12.16,9.63,12.94,11.83,10.32,11.60,10.36,10.64,9.31,8.82,7.78,8.41,7.66,8.73,7.43,8.22,7.60,7.13,6.94,6.78,6.65,6.52,6.43,6.27,6.03,5.92,5.77,5.62,5.60,5.52,5.33,5.21,5.15,5.04,4.99,4.94,4.89,4.83,4.77,4.71,4.58,4.51,4.49,4.41,4.33,4.30,4.27,4.25,4.16,4.07,3.99,3.91,3.89,3.88,3.87,3.80,3.68,3.61,3.61,3.61,3.60,3.54,3.42,3.31,3.25,3.24
7,21.04,17.49,16.96,19.51,15.35,15.20,13.75,16.57,13.66,13.39,15.88,12.93,11.99,9.41,11.08,8.49,11.34,11.70,9.46,8.39,11.28,9.25,8.12,8.04,10.15,6.59,7.93,9.57,7.28,8.06,4.35,8.20,6.80,8.72,7.08,6.68,6.54,6.37,6.15,6.00,5.87,5.71,5.55,5.38,5.22,5.13,5.10,5.02,4.89,4.82,4.82,4.71,4.60,4.61,4.56,4.38,4.26,4.26,4.20,4.13,4.12,4.04,3.90,3.82,3.80,3.78,3.75,3.73,3.71,3.68,3.67,3.59,3.52,3.45,3.33,3.26,3.26,3.25,3.25,3.19,3.07,3.01,2.95,2.89
8,16.26,19.37,18.08,14.47,16.59,14.06,11.96,15.70,12.61,13.35,14.21,13.31,10.17,10.08,9.13,8.97,10.08,8.70,10.13,10.00,13.25,9.59,9.47,8.07,6.63,10.96,6.55,8.76,6.84,10.28,6.57,7.23,6.76,6.76,6.77,6.35,6.22,6.09,5.86,5.70,5.49,5.28,5.25,5.16,5.05,4.96,4.87,4.78,4.70,4.57,4.44,4.38,4.33,4.28,4.16,4.05,3.99,4.00,3.94,3.87,3.87,3.86,3.79,3.71,3.69,3.67,3.65,3.62,3.48,3.34,3.32,3.24,3.17,3.16,3.09,3.03,3.02,3.02,3.01,2.95,2.89,2.89,2.83,2.77
9,17.25,12.81,16.53,17.47,23.35,15.27,16.22,9.91,14.85,13.44,15.59,14.21,11.32,10.98,9.53,12.08,11.61,11.66,8.41,8.58,9.99,8.08,10.35,7.21,8.05,5.23,7.54,10.20,11.04,7.70,5.74,6.24,6.62,7.01,6.56,6.15,6.07,5.95,5.76,5.66,5.50,5.28,5.14,5.04,4.89,4.73,4.63,4.60,4.58,4.38,4.19,4.18,4.18,4.07,3.96,3.97,3.98,3.98,3.86,3.74,3.74,3.74,3.73,3.72,3.70,3.68,3.66,3.58,3.37,3.23,3.21,3.19,3.12,3.05,3.04,3.03,3.02,3.02,2.95,2.83,2.77,2.77,2.77,2.77
