,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
0,1263.90,1233.77,1140.72,1073.48,1041.89,1092.64,1037.56,1018.50,954.60,888.54,829.53,734.39,706.03,683.74,683.37,687.49,645.43,628.65,644.34,611.24,597.00,599.30,576.86,555.80,572.45,545.00,535.82,522.70,511.37,464.45,494.26,457.99,433.62,412.93,437.02,414.59,405.22,396.23,387.86,379.79,371.94,364.49,357.55,350.80,344.33,338.42,332.73,327.12,321.77,316.79,311.85,307.35,303.13,298.90,295.08,291.41,287.52,283.91,280.66,277.30,274.01,270.71,267.45,264.42,261.20,257.93,254.98,252.05,248.85,245.87,242.96,239.97,237.14,234.32,231.51,228.70,226.03,223.22,220.40,217.95,215.47,212.81,210.23,207.73
1,83.00,90.40,73.39,85.31,76.63,67.31,68.91,72.60,69.48,69.45,67.56,54.36,55.90,53.35,46.01,51.22,51.53,50.94,51.97,43.51,41.08,47.03,39.01,42.82,39.60,39.75,40.74,36.92,31.65,32.15,35.40,32.43,32.27,34.64,30.79,29.67,28.58,27.84,27.64,27.13,26.52,25.91,25.29,24.85,24.55,24.24,23.42,22.75,22.89,22.87,22.52,21.95,21.43,21.06,20.70,20.66,20.59,20.35,20.19,19.58,18.95,18.82,18.73,18.63,18.67,18.58,18.23,17.95,17.59,17.43,17.50,17.18,16.82,16.48,16.13,16.01,16.08,16.19,16.08,15.85,15.62,15.21,14.53,14.26
2,53.75,47.56,46.24,45.19,50.89,43.08,45.17,43.91,47.03,44.25,38.66,34.18,39.43,31.36,29.64,31.23,30.71,32.35,31.62,27.96,25.45,27.77,25.45,23.11,25.69,23.58,28.24,18.47,18.71,19.17,20.20,18.22,17.80,17.08,19.47,18.48,18.12,17.77,17.38,16.89,16.43,16.06,15.71,15.37,15.05,14.82,14.61,14.41,14.21,14.00,13.85,13.62,13.38,13.26,13.12,12.97,12.81,12.63,12.45,12.25,12.06,11.86,11.67,11.54,11.47,11.30,11.14,11.04,10.96,10.82,10.69,10.56,10.38,10.26,10.14,9.96,9.84,9.78,9.61,9.49,9.42,9.30,9.18,9.12
3,40.65,39.75,36.88,41.89,40.19,37.91,31.56,35.62,36.49,32.50,33.29,26.70,27.34,21.95,25.09,21.90,21.11,22.43,22.61,18.51,17.02,16.16,21.92,20.36,19.27,15.14,19.38,16.28,11.06,15.60,11.43,10.42,11.02,13.38,13.16,12.35,12.10,11.85,11.54,11.27,11.01,10.71,10.48,10.15,9.82,9.63,9.46,9.36,9.20,9.05,8.95,8.84,8.73,8.62,8.50,8.37,8.29,8.20,8.05,7.88,7.72,7.61,7.56,7.52,7.47,7.37,7.22,7.13,7.10,7.03,6.96,6.89,6.77,6.70,6.70,6.63,6.52,6.46,6.40,6.28,6.17,6.05,5.99,5.98
4,39.24,31.26,33.17,25.03,30.73,27.48,28.88,26.12,26.89,26.05,21.89,25.49,23.15,21.50,15.45,21.80,20.10,18.52,17.87,16.94,16.64,18.30,16.34,13.01,11.58,12.83,14.53,12.46,9.22,10.23,10.20,11.38,10.86,7.30,10.70,10.03,9.82,9.53,9.16,8.93,8.73,8.49,8.33,7.99,7.73,7.59,7.40,7.29,7.18,7.08,6.98,6.88,6.77,6.72,6.60,6.48,6.47,6.46,6.38,6.23,6.14,6.11,6.07,6.03,5.99,5.95,5.86,5.78,5.69,5.56,5.49,5.42,5.35,5.29,5.23,5.23,5.17,5.11,5.10,4.99,4.82,4.76,4.70,4.64
5,30.88,26.93,29.81,26.18,25.50,25.52,25.01,23.98,26.91,23.45,23.41,21.90,17.41,13.72,17.68,16.41,16.54,15.97,14.34,12.81,13.17,12.81,14.13,9.91,11.28,12.41,11.63,14.24,11.35,10.30,11.51,11.17,8.86,9.56,9.61,9.06,8.75,8.41,8.03,7.78,7.56,7.37,7.20,6.98,6.83,6.69,6.56,6.43,6.32,6.21,6.17,6.06,5.96,5.91,5.80,5.74,5.74,5.67,5.60,5.52,5.44,5.41,5.38,5.29,5.20,5.17,5.08,4.99,4.91,4.78,4.70,4.69,4.68,4.61,4.50,4.38,4.32,4.32,4.31,4.20,4.09,4.08,4.03,3.97
6,32.53,26.27,29.38,25.92,20.01,20.35,23.62,22.83,21.22,24.43,20.25,18.48,17.00,16.90,17.26,13.10,14.91,14.53,13.64,17.25,13.62,11.49,14.07,11.35,14.27,10.12,11.21,12.18,10.52,10.79,9.75,9.38,7.33,11.27,8.77,8.24,7.96,7.61,7.31,7.10,6.90,6.74,6.57,6.40,6.25,6.16,6.02,5.89,5.82,5.71,5.66,5.56,5.45,5.41,5.30,5.24,5.25,5.19,5.12,5.05,4.92,4.84,4.81,4.73,4.64,4.61,4.52,4.44,4.41,4.33,4.20,4.13,4.12,4.11,4.05,3.93,3.87,3.81,3.75,3.70,3.64,3.64,3.63,3.58
7,26.12,24.18,27.47,23.91,27.65,24.96,17.12,24.41,26.06,16.03,20.86,19.45,15.10,16.22,14.11,10.14,12.59,17.63,13.53,12.62,13.37,11.43,10.36,10.04,8.62,9.30,9.50,10.87,7.52,7.39,8.30,7.28,11.16,8.55,7.97,7.41,7.20,6.94,6.66,6.46,6.35,6.21,6.06,5.95,5.79,5.70,5.62,5.48,5.41,5.34,5.22,5.12,5.07,5.03,4.92,4.87,4.87,4.82,4.70,4.57,4.44,4.37,4.35,4.33,4.31,4.28,4.19,4.11,4.09,4.01,3.87,3.75,3.68,3.67,3.66,3.65,3.59,3.48,3.42,3.41,3.41,3.41,3.41,3.30
8,24.92,26.72,23.92,24.53,20.23,19.87,20.50,25.67,19.29,19.53,20.35,15.70,17.32,18.99,16.20,11.83,17.73,13.58,12.14,11.78,11.34,9.65,10.32,12.41,8.95,12.35,12.51,11.96,10.53,10.96,9.65,10.75,7.52,6.71,7.32,6.85,6.60,6.46,6.28,6.06,5.91,5.79,5.71,5.62,5.46,5.36,5.33,5.19,5.05,5.04,4.92,4.80,4.81,4.71,4.54,4.49,4.50,4.45,4.27,4.15,4.15,4.14,4.13,4.11,4.09,4.06,3.98,3.90,3.82,3.74,3.72,3.64,3.57,3.56,3.55,3.54,3.48,3.36,3.25,3.19,3.19,3.18,3.18,3.13
9,23.44,23.22,25.12,22.21,19.23,16.87,17.48,20.49,18.44,17.67,20.57,15.75,17.32,15.20,17.16,16.18,13.84,13.16,12.30,13.12,8.78,13.62,11.68,11.33,9.47,14.17,10.95,10.29,8.02,11.34,10.65,8.77,7.69,10.43,6.96,6.61,6.40,6.22,6.09,5.86,5.64,5.54,5.48,5.39,5.31,5.21,5.11,5.02,4.94,4.87,4.74,4.61,4.56,4.45,4.28,4.24,4.25,4.19,4.08,4.02,4.02,4.02,4.01,3.94,3.86,3.84,3.82,3.80,3.72,3.64,3.62,3.59,3.58,3.56,3.55,3.48,3.42,3.36,3.24,3.19,3.18,3.13,3.07,3.01
