year,sex,prev,lo,up
2016,Male,26.9,22.9,30.9
2016,Female,28.6,24.7,32.8
2015,Male,26.2,22.5,29.9
2015,Female,28.1,24.5,31.9
2014,Male,25.5,22.1,29.0
2014,Female,27.6,24.2,31.1
2013,Male,24.9,21.7,28.0
2013,Female,27.0,23.9,30.3
2012,Male,24.3,21.3,27.2
2012,Female,26.5,23.6,29.5
2011,Male,23.6,20.9,26.4
2011,Female,26.0,23.3,28.8
2010,Male,23.0,20.4,25.6
2010,Female,25.4,22.9,28.1
2009,Male,22.4,19.9,24.9
2009,Female,24.9,22.5,27.4
2008,Male,21.8,19.4,24.2
2008,Female,24.3,22.0,26.8
2007,Male,21.1,18.8,23.5
2007,Female,23.8,21.5,26.3
2006,Male,20.5,18.2,22.8
2006,Female,23.3,21.1,25.7
2005,Male,19.9,17.7,22.2
2005,Female,22.7,20.5,25.1
2004,Male,19.3,17.1,21.6
2004,Female,22.2,20.1,24.5
2003,Male,18.8,16.6,21.0
2003,Female,21.7,19.5,24.0
2002,Male,18.2,16.0,20.4
2002,Female,21.2,19.0,23.5
2001,Male,17.6,15.5,19.9
2001,Female,20.6,18.5,22.9
2000,Male,17.1,14.9,19.3
2000,Female,20.1,18.0,22.4
1999,Male,16.5,14.4,18.8
1999,Female,19.6,17.5,22.0
1998,Male,16.0,13.9,18.3
1998,Female,19.1,17.0,21.4
1997,Male,15.5,13.4,17.8
1997,Female,18.7,16.5,20.9
1996,Male,15.0,12.9,17.3
1996,Female,18.2,15.9,20.5
1995,Male,14.5,12.4,16.9
1995,Female,17.7,15.5,20.1
1994,Male,14.0,11.9,16.3
1994,Female,17.3,15.0,19.6
1993,Male,13.6,11.4,15.9
1993,Female,16.8,14.5,19.2
1992,Male,13.2,11.0,15.5
1992,Female,16.4,14.1,18.8
1991,Male,12.7,10.6,15.1
1991,Female,16.0,13.6,18.4
1990,Male,12.4,10.2,14.7
1990,Female,15.6,13.2,18.1
1989,Male,12.0,9.8,14.3
1989,Female,15.2,12.8,17.7
1988,Male,11.6,9.4,13.9
1988,Female,14.8,12.4,17.4
1987,Male,11.3,9.0,13.6
1987,Female,14.5,12.1,17.1
1986,Male,10.9,8.7,13.3
1986,Female,14.1,11.7,16.8
1985,Male,10.6,8.3,13.0
1985,Female,13.8,11.3,16.5
1984,Male,10.3,8.0,12.8
1984,Female,13.5,10.8,16.3
1983,Male,10.0,7.6,12.5
1983,Female,13.1,10.4,16.0
1982,Male,9.7,7.2,12.3
1982,Female,12.8,10.0,15.9
1981,Male,9.4,6.8,12.1
1981,Female,12.5,9.6,15.7
1980,Male,9.1,6.5,11.9
1980,Female,12.2,9.2,15.5
1979,Male,8.8,6.1,11.8
1979,Female,11.9,8.8,15.3
1978,Male,8.6,5.8,11.6
1978,Female,11.6,8.4,15.1
1977,Male,8.3,5.4,11.6
1977,Female,11.3,8.0,15.0
1976,Male,8.1,5.1,11.5
1976,Female,11.0,7.6,15.0
1975,Male,7.8,4.8,11.5
1975,Female,10.8,7.2,15.0
