Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,437322,412356,384373,357083,343751,329517,314175,319654,345100,357525,356253,347816,348286,347944,361759,364466,369801,380086,376073,378369,387121,382842,369248,367833,356589,349698,357310,347609,343268,332621,324219,323174,330666,342853,349507,358637,369069,384803,382093,386673,390827,397837,385946,379305,378230
1,425706,435250,409400,382231,355132,342195,327506,313420,318705,343841,356557,353641,346591,348269,347384,362147,363785,368494,379596,375325,377580,386112,381687,368161,367245,355657,349698,356606,347991,342236,330909,325659,323410,330154,343394,349653,360360,369909,384984,381637,385277,393627,400531,389528,383105
2,445504,424248,433924,407374,380427,353987,340238,327109,312895,317847,342973,355831,352990,346742,348107,347527,362284,363800,368853,379461,375712,377531,385857,381464,368337,366616,355145,350257,357035,347883,340590,332885,326926,323443,331281,343541,350205,362111,370839,385016,382279,387710,396066,403832,393156
3,447954,443699,423342,432281,405141,379054,351947,339692,326649,311772,316723,342177,355282,353418,347550,349361,348732,363208,365241,370057,380941,375967,377770,385987,381288,368363,366026,354921,351429,356990,347071,342856,334329,327954,324614,331802,344051,350565,363802,371444,385930,384339,389601,398979,406959
4,460275,446122,442592,422320,430259,403659,377512,351347,339222,326153,310686,315796,341829,355584,354326,349453,349872,348955,363703,365840,371021,380610,375699,378116,386114,381302,368293,365466,355258,352338,356106,349327,344731,335655,329970,325333,332490,344260,350793,365104,372956,387600,386070,392256,401913
5,456001,458855,444529,441053,421207,428930,402185,376774,350621,338586,325448,310027,315487,342107,356615,355668,349878,349962,349259,364079,366481,370790,380364,375572,377967,386044,380846,368166,364964,354228,352946,357826,351357,346900,336661,330887,326348,332923,344721,351633,366267,374435,389268,388465,394805
6,465280,455484,458009,442819,439632,420506,428043,401230,376087,350535,338133,324679,309670,315792,342846,357694,356125,350049,350817,350073,364926,366665,371088,380536,376092,378603,386064,381046,369005,364217,354436,354366,359997,353194,348117,337789,332725,327022,333589,345341,351340,367473,375864,391339,390552
7,463220,465275,455377,456351,441477,438539,420248,427812,400458,375908,350005,337526,324549,310058,316579,343678,358391,356474,350511,351170,350801,365097,366524,371397,380615,376163,378634,385997,381209,368486,363989,355834,356571,362204,354326,349443,339895,334381,327973,334476,344955,352763,368856,377734,393340
8,451889,463129,465621,454623,454560,440273,437986,420570,427192,400032,375285,349356,337418,324944,310916,317390,344169,358611,357422,351157,351857,351130,365393,366708,371707,380641,376152,378899,386498,380693,368838,365769,357896,358605,363420,355536,351746,341686,336114,329035,334365,346254,354135,370587,379516
9,446580,451867,463644,464910,453450,452960,439984,437575,420548,427101,399622,374725,349147,337836,325695,311873,317935,344451,358871,357774,351956,352042,351571,365973,366808,372134,380682,376411,379824,386397,381163,370161,367883,359758,359794,364796,357534,353652,343604,337975,329167,335858,347682,355806,372299
10,436662,446964,452545,463599,464552,453307,452331,439736,436928,420998,426624,398884,374343,349360,338725,326283,312175,318054,344831,359759,358430,351574,351867,352024,366336,366877,372111,380572,376787,379373,385964,383025,371507,368643,360930,361708,367321,359014,354968,345544,339048,330653,337332,349445,357559
11,420563,437443,447579,452759,463794,465092,453835,451739,439462,436799,421073,425584,398510,374599,350471,340073,327149,312771,318996,345660,360724,359150,352099,352300,352721,367083,367152,372617,381388,376573,379738,387747,384475,371971,370152,362857,363938,368975,360323,357131,346840,340714,332241,339212,351456
