,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,461352,433808,408749,378049,363122,347803,331765,336156,364591,376584,373620,365294,366340,364810,379543,383733,386987,398127,393224,395045,402599,402275,387743,387383,375130,369091,375956,364935,361223,349764,338443,338612,349242,361598,366823,375398,388357,403425,400635,405116,410357,418013,406611,398946,398539
1,449644,457862,432329,405899,375468,360858,345896,330550,334612,362538,374745,370934,364032,365911,364079,379648,382576,385243,397515,391956,393976,401584,400650,386349,386298,374390,369029,374946,365074,359406,348546,339142,339228,349251,361360,366438,377279,388735,402982,399991,403135,413081,420824,410093,403020
2,468358,448140,456388,430256,404009,373988,359200,345017,330070,334159,362229,373916,370269,364095,365750,364224,379659,382362,385419,397335,392047,393973,401537,400237,386458,385618,373881,369646,374945,364241,358313,349620,340923,340209,349512,360842,367544,378672,389101,403642,399930,405554,415772,423978,413548
3,471609,466583,446961,454877,428232,402647,372263,358487,344604,329271,333699,361219,373261,370452,364844,367024,365319,380442,383623,386449,398715,392315,394236,401924,400153,386774,385021,373854,370542,374494,363915,359517,351493,342852,340974,349520,361635,367839,379862,390186,404523,402100,407847,418718,427117
4,484860,469813,465135,445920,454228,426928,401037,371767,358054,343842,328844,332932,360644,373478,371271,366688,367309,365349,380823,383927,387158,398251,392044,394705,402530,400261,386591,384250,373984,371197,374050,365411,361705,353634,344490,341460,350519,361672,367844,381727,391667,406458,404355,410635,421505
5,478746,484542,468332,463079,444475,453279,425212,399799,371196,357281,343368,328018,332500,360902,374414,372526,367012,367218,365630,381020,384327,387053,398474,392488,395135,403413,400270,386999,384347,373875,371490,376220,367460,363720,354666,345562,342389,350730,361958,368029,383111,393453,408315,406859,413235
6,490694,477516,483324,466507,461981,444165,452295,424313,399238,369932,356562,342711,327657,332683,361730,375458,372928,367139,367989,366352,381807,384087,387081,398596,393056,396197,403778,400250,387461,383358,373501,373778,378186,369284,364829,355881,347280,343136,351168,361997,368248,384621,395136,410298,408987
7,489406,490776,477097,481860,465085,461055,443842,451765,423947,398392,369309,355707,342420,327861,333414,362438,375906,373095,367390,368210,366999,382084,383843,387494,398904,393602,396543,404082,400160,387225,381828,375173,376160,380150,370502,366204,357756,348889,344138,351438,361924,369750,386174,397092,412479
8,475693,489785,491633,476722,480411,463947,460375,443708,451701,422928,397693,368559,355371,342657,328655,334246,362809,375911,373813,367900,368827,367317,382686,384019,388073,399274,393754,397193,405028,399688,386942,383924,376855,378493,381145,371826,368250,359513,350763,344917,351669,363335,371285,388047,399245
9,466476,475906,490590,491227,476790,479325,463169,459870,444015,451375,422008,396705,368224,355718,343317,329591,334632,363033,376013,373991,368616,368312,367561,383364,384045,388619,399243,394031,397882,405420,399291,387938,385890,378427,380136,382504,373679,370022,361416,352334,345654,353113,364734,373033,389988
10,458944,467101,476562,491152,492038,477145,478630,462845,459701,444445,449294,420955,396372,368273,356408,343833,329729,334544,363248,376665,374440,367908,367575,368306,384446,384380,388935,399455,394662,398470,405923,400180,389623,387764,380463,381836,384658,375160,372363,363471,354100,347226,354532,366432,375072
11,443770,458689,467933,477188,491631,492260,477851,478239,463019,459252,444438,447206,420344,396298,369143,357545,344467,330039,335267,363853,377423,374549,367978,367801,369160,385696,384743,389669,400346,395023,399318,406995,401181,390593,390199,381632,384181,386220,377429,374568,365394,355747,348749,356307,368574
