age, male, female
0, 382332, 362931
1, 395273, 375341
2, 408684, 387630
3, 408882, 388301
4, 412553, 392101
5, 421934, 401270
6, 434333, 414348
7, 427809, 408199
8, 419161, 400663
9, 414994, 395813
10, 418348, 398640
11, 405604, 384526
12, 396531, 377837
13, 381466, 363458
14, 375311, 357173
15, 365807, 346926
16, 360771, 341812
17, 371195, 353628
18, 384777, 362219
19, 401688, 380427
20, 411122, 388931
21, 426309, 402450
22, 432658, 405362
23, 433554, 411037
24, 447422, 425730
25, 447101, 431409
26, 457870, 450115
27, 470965, 456180
28, 462696, 447914
29, 454070, 448855
30, 455376, 455763
31, 439884, 448522
32, 448165, 447555
33, 447012, 447937
34, 433650, 439493
35, 435220, 443562
36, 433790, 444015
37, 438225, 446006
38, 438053, 445383
39, 422038, 425942
40, 393518, 397469
41, 387736, 390564
42, 393134, 400468
43, 400211, 407912
44, 407039, 415341
45, 425447, 433399
46, 443536, 452204
47, 454593, 470036
48, 444402, 458544
49, 455038, 470201
50, 455264, 470090
51, 463020, 474274
52, 459687, 476094
53, 463433, 479358
54, 458773, 474242
55, 449077, 463241
56, 439605, 451605
57, 424184, 436233
58, 405958, 418441
59, 395941, 409535
60, 386958, 400174
61, 371615, 385286
62, 357493, 370916
63, 342516, 357872
64, 341152, 359127
65, 335697, 352953
66, 323224, 343286
67, 323633, 345174
68, 327472, 351835
69, 334709, 358452
70, 349268, 376645
71, 375924, 405199
72, 286543, 312740
73, 273933, 302019
74, 270187, 299138
75, 246316, 278921
76, 215728, 249132
77, 189863, 223746
78, 192839, 228622
79, 186251, 224153
80, 175626, 214793
81, 160475, 202210
82, 146314, 189402
83, 132941, 175985
84, 116050, 159667
85, 103669, 147771
86, 93155,  138433
87, 81174,  126713
88, 68110,  113032
89, 55652,  96759
90, 183486, 400538
