age, male, female
0, 0.004276, 0.003496
1, 0.000271, 0.000231
2, 0.000154, 0.000140
3, 0.000120, 0.000097
4, 0.000102, 0.000083
5, 0.000092, 0.000069
6, 0.000078, 0.000073
7, 0.000083, 0.000068
8, 0.000070, 0.000062
9, 0.000078, 0.000060
10, 0.000078, 0.000051
11, 0.000091, 0.000073
12, 0.000095, 0.000074
13, 0.000106, 0.000091
14, 0.000118, 0.000107
15, 0.000170, 0.000126
16, 0.000220, 0.000151
17, 0.000302, 0.000153
18, 0.000399, 0.000209
19, 0.000439, 0.000200
20, 0.000467, 0.000204
21, 0.000496, 0.000211
22, 0.000494, 0.000204
23, 0.000529, 0.000226
24, 0.000535, 0.000215
25, 0.000620, 0.000242
26, 0.000573, 0.000268
27, 0.000614, 0.000277
28, 0.000679, 0.000309
29, 0.000684, 0.000332
30, 0.000725, 0.000375
31, 0.000769, 0.000401
32, 0.000927, 0.000479
33, 0.000888, 0.000500
34, 0.000977, 0.000509
35, 0.001026, 0.000588
36, 0.001161, 0.000660
37, 0.001191, 0.000731
38, 0.001241, 0.000730
39, 0.001393, 0.000842
40, 0.001501, 0.000931
41, 0.001713, 0.000976
42, 0.001811, 0.001076
43, 0.001987, 0.001144
44, 0.002096, 0.001295
45, 0.002202, 0.001442
46, 0.002370, 0.001529
47, 0.002741, 0.001657
48, 0.002797, 0.001778
49, 0.003107, 0.001920
50, 0.003402, 0.002144
51, 0.003501, 0.002352
52, 0.003813, 0.002579
53, 0.003968, 0.002811
54, 0.004408, 0.003019
55, 0.004923, 0.003295
56, 0.005467, 0.003618
57, 0.005868, 0.003868
58, 0.006371, 0.004236
59, 0.007031, 0.004775
60, 0.007955, 0.005180
61, 0.008614, 0.005636
62, 0.009324, 0.006302
63, 0.010484, 0.006878
64, 0.011447, 0.007344
65, 0.012244, 0.007910
66, 0.013496, 0.008923
67, 0.014599, 0.009654
68, 0.015607, 0.010405
69, 0.017228, 0.011582
70, 0.018837, 0.012751
71, 0.021307, 0.014342
72, 0.023546, 0.016018
73, 0.026015, 0.018096
74, 0.029585, 0.019863
75, 0.032946, 0.022485
76, 0.036425, 0.025789
77, 0.039860, 0.027839
78, 0.044087, 0.031890
79, 0.049207, 0.035229
80, 0.055222, 0.040488
81, 0.061390, 0.045637
82, 0.069292, 0.052420
83, 0.078533, 0.060183
84, 0.087689, 0.068991
85, 0.098188, 0.077875
86, 0.109512, 0.089264
87, 0.122389, 0.101338
88, 0.137063, 0.116361
89, 0.151054, 0.131781
90, 0.168744, 0.149831
91, 0.186002, 0.167527
92, 0.201643, 0.187731
93, 0.220694, 0.207961
94, 0.243034, 0.234098
95, 0.267570, 0.264612
96, 0.287550, 0.289801
97, 0.305291, 0.309773
98, 0.313561, 0.330958
99, 0.348595, 0.373634
100, 0.385655, 0.410964
